Name,Pos,Votes,Avg_rk,Status
Joe Mixon,ATH,4,26.75,Drafted
Joel Caleb,ATH,3,95.67,UD
Joey Bosa,DL,4,48.25,Drafted
Joey O'Connor,OL,2,103.00,UD
John Atkins,DL,1,119.00,UD
John Burt,WR,2,115.00,UD
John Houston Jr.,LB,4,59.75,UD
John Kolar,QB,1,72.00,UD
John Michael Mcgee,OL,1,137.00,UD
John Montelus,OL,1,74.00,UD
John Smith,DB,1,24.00,UD
John Theus,OL,4,25.50,Drafted
Johnathan Gray,RB,4,5.50,UD
Johnnie Dixon,WR,4,72.50,UD
Johnny Frasier,RB,3,67.33,UD
JoJo Robinson,ATH,1,145.00,UD
JoJo Wicker,DL,2,78.50,UD
Jon Reschke,LB,1,149.00,UD
Jonathan Allen,DL,4,16.25,Drafted
Jonathan Bullard,DL,4,21.25,Drafted
Jonathan Cook,DB,1,145.00,UD
Jonathan Ledbetter,DL,4,76.75,UD
Jonathan Lockett,DB,1,137.00,UD
Jonathan Taylor,DL,4,60.00,UD
Jordan Colbert,LB,1,84.00,UD
Jordan Cunningham,WR,1,107.00,UD
Jordan Diamond,OL,3,87.33,UD
Jordan Jenkins,DL,4,46.00,Drafted
Jordan Payton,WR,2,115.00,Drafted
Jordan Poland,OL,1,141.00,UD
Jordan Richmond,LB,1,103.00,UD
Jordan Scarlett,RB,3,129.00,Drafted
Jordan Simmons,OL,3,62.33,UD
Jordan Whitehead,DB,3,107.33,Drafted
Joseph Wicker,DL,1,95.00,UD
Joseph Yearby,RB,4,65.00,UD
Josh Barajas,LB,2,123.00,UD
Josh Boutte,OL,2,113.50,UD
Josh Frazier,DL,1,86.00,UD
Josh Harvey-Clemons,LB,4,25.50,Drafted
Josh Malone,WR,4,39.00,Drafted
Josh Perry,LB,1,146.00,UD
Josh Rosen,QB,4,20.00,Drafted
Josh Smith,LB,3,114.33,UD
Josh Sweat,DL,4,14.75,Drafted
Josh Wariboko-Alali,OL,4,112.00,UD
Josh Woods,LB,1,134.00,UD
Joshua Dobbs,QB,1,107.00,Drafted
Joshua Frazier,DL,2,58.00,Drafted
Joshua Garnett,OL,4,45.50,Drafted
Joshua Holsey,DB,1,86.00,Drafted
Jourdan Lewis,DB,3,111.33,Drafted
Jovon Durante,WR,1,126.00,UD
Jovon Robinson,RB,1,136.00,UD
JuJu Smith-Schuster,ATH,3,29.67,Drafted
Justice Hansen,QB,2,120.00,UD
Justin Brent,WR,3,82.67,UD
Justin Davis,RB,2,78.50,UD
Justin Dunning,DB,2,133.00,UD
Justin Ferguson,WR,1,85.00,UD
Justin Hilliard,LB,4,31.75,UD
Justin Manning,DL,4,91.50,UD
Justin Shanks,DL,2,124.50,UD
Justin Thomas,ATH,2,129.50,UD
Justin Thornton,DL,3,130.33,UD
Juwan Johnson,WR,2,121.50,UD
Juwann Bushell-Beatty,OL,1,142.00,UD
K.D. Cannon,WR,1,30.00,UD
Kahlil McKenzie,DL,4,10.25,Drafted
Kai Locksley,ATH,1,146.00,UD
Kailo Moore,RB,2,119.50,UD
Kain Daub,LB,4,98.00,UD
Kalen Ballage,ATH,1,133.00,Drafted
Kalvaraz Bessent,DB,3,110.00,UD
Kameron Miles,DB,2,143.00,UD
Kanya Bell,WR,1,143.00,UD
Kc McDermott,OL,4,63.50,UD
KD Cannon,WR,3,35.33,UD
Keanu Neal,DB,3,79.67,Drafted
Keaton Sutherland,OL,1,67.00,UD
Keenan Walker,OL,2,116.50,UD
Keisean Lucier-South,DL,4,21.50,UD
Keith Brown,LB,1,133.00,UD
Keith Bryant,DL,1,135.00,UD
Keith Ford,RB,4,33.25,UD
Keith Marshall,RB,4,21.75,Drafted
KeiVarae Russell,ATH,3,129.67,Drafted
Keller Chryst,QB,4,53.50,UD
Kelsey Griffin,DL,4,95.50,UD
Kelvin Taylor,RB,4,21.75,Drafted
Kendall Bussey,RB,1,106.00,UD
Kendall Fuller,DB,4,18.75,Drafted
Kendall Sanders,ATH,3,79.00,UD
Kendall Sheffield,DB,4,29.00,Drafted
Kendell Beckwith,ATH,4,68.75,Drafted
Kennedy Estelle,OL,4,66.00,UD
Kenny Bigelow Jr.,DL,4,12.25,UD
Kenny Hill,QB,1,137.00,UD
Kenny Young,LB,1,95.00,Drafted
Kent Perkins,OL,4,51.00,UD
Kent Taylor,TE,4,99.00,UD
Kentavius Street,DL,3,71.67,Drafted
Kenyan Drake,RB,2,108.00,Drafted
Kerryon Johnson,ATH,4,39.00,Drafted
Kevin Crosby,TE,1,143.00,UD
Kevin Estes,OL,1,128.00,UD
Kevin Olsen,QB,3,91.33,UD
Kevin Toliver II,DB,4,13.75,UD
Kevon Seymour,DB,3,86.67,Drafted
Keyon Brown,DL,1,91.00,UD
Khaliel Rodgers,OL,3,89.33,UD
Kirk Merritt,ATH,2,134.50,UD
Kohl Stewart,QB,1,96.00,UD
Kolton Miller,OL,1,149.00,Drafted
Korie Rogers,LB,2,105.00,UD
Korren Kirven,DL,1,100.00,UD
Kris Boyd,DB,3,93.33,Drafted
Kwon Alexander,LB,3,74.67,Drafted
Kwontie Moore,LB,3,81.33,UD
Kyle Allen,QB,4,13.75,UD
Kyle Berger,LB,1,134.00,UD
Kyle Bosch,OL,3,97.33,UD
Kyle Kalis,OL,4,65.25,UD
Kyle Murphy,OL,4,17.00,Drafted
Kyle Phillips,DL,4,39.75,UD
Kyle Shurmur,QB,1,110.00,UD
Kyler Murray,QB,4,37.00,Drafted
Kylie Fitts,DL,4,100.00,Drafted
Kyron Watson,LB,1,136.00,UD
LaDarrell McNeil,DB,3,91.00,UD
Lamont Gaillard,DL,3,111.67,Drafted
Landon Collins,DB,4,8.25,Drafted
Laquon Treadwell,WR,4,16.50,Drafted
LaQuvionte Gonzalez,ATH,1,111.00,UD
Laremy Tunsil,OL,4,6.50,Drafted
Larenz Bryant,LB,3,88.33,UD
Larry Pryor,DB,1,146.00,UD
Laurence Jones,DB,2,34.50,UD
Lawrence Marshall,DL,1,121.00,UD
Leo Lewis,LB,4,58.25,UD
Leon McQuay III,DB,4,33.50,UD
Leonard Floyd,LB,2,131.50,Drafted
Leonard Fournette,RB,4,2.00,Drafted
Leonard Williams,DL,4,50.25,Drafted
Lester Cotton,OL,4,64.75,UD
Levonte Whitfield,ATH,1,73.00,UD
LJ Scott,RB,4,71.75,UD
Logan Tuley-Tillman,OL,2,117.00,UD
Lorenzo Carter,DL,4,22.00,Drafted
Lorenzo Featherston,DL,2,79.00,UD
Lorenzo Phillips,LB,1,135.00,UD
Lucas Thompson,DB,1,136.00,UD
Mackensie Alexander,DB,4,27.50,Drafted
Maea Teuhema,OL,4,42.75,UD
Malachi Dupre,WR,4,19.75,Drafted
Malcolm Lewis,WR,1,145.00,UD
Malcom Brown,DL,4,13.75,Drafted
Malik Jefferson,LB,4,20.25,Drafted
Malik Lovette,ATH,3,121.00,UD
Malik McDowell,DL,4,38.75,Drafted
Malik Zaire,QB,1,122.00,UD
Malkom Parrish,DB,4,74.00,UD
Maquedius Bain,DL,1,130.00,UD
Marcell Harris,DB,4,69.25,Drafted
Marcus Baugh,TE,4,104.50,UD
Marcus Lewis,DB,2,109.50,UD
Marcus Maye,DB,3,109.67,Drafted
Marcus Newby,LB,1,144.00,UD
Mario Edwards,DL,4,1.75,Drafted
Mario Pender,RB,4,47.00,UD
Mark Andrews,WR,2,121.50,Drafted
Mark Dodson Jr.,RB,1,135.00,UD
Mark Fields,DB,3,96.33,UD
Mark Walton,RB,4,87.00,Drafted
Markell Pack,WR,3,108.67,UD
Marlon Humphrey,DB,4,11.50,Drafted
Marquez North,WR,3,86.00,UD
Marquis Ware,ATH,1,125.00,UD
Marshon Lattimore,ATH,4,69.50,Drafted
Martez Ivey,OL,4,3.25,UD
Marvell Tell III,DB,4,77.50,UD
Marvin Bracy,WR,2,83.00,UD
Mason Cole,OL,3,101.33,Drafted
Matt Davis,QB,3,116.67,UD
Matt Elam,DL,2,18.50,Drafted
Matt Rolin,LB,2,114.50,UD
Matthew Burrell,OL,3,98.67,UD
Matthew Thomas,LB,4,10.75,UD
Maurice Smith,DB,4,109.00,UD
Max Browne,QB,4,17.00,UD
Max Redfield,DB,4,30.75,UD
Max Tuerk,OL,4,68.75,Drafted
Mekhi Brown,DL,3,97.33,UD
Micah Abernathy,DB,1,81.00,UD
Michael Ferns,LB,1,129.00,UD
Michael Hill,DL,1,146.00,UD
Michael Hutchings,LB,3,90.67,UD
Michael O'Connor,QB,1,132.00,UD
Michael Rose-Ivey,LB,2,135.00,UD
Michael Starts,OL,3,119.00,UD
Michiah Quick,ATH,4,77.25,UD
Mike Davis,RB,4,45.75,Drafted
Mike Gesicki,TE,1,58.00,Drafted
Mike Matthews,OL,1,132.00,UD
Mike Mccray,LB,3,124.33,UD
Mike McGlinchey,OL,1,132.00,Drafted
Mike Mitchell,LB,4,75.75,UD
Mike Weber,RB,4,101.25,Drafted
Mikel Horton,RB,1,150.00,UD
Minkah Fitzpatrick,DB,4,32.50,Drafted
Mitch Hyatt,OL,4,28.25,UD
Mitch Trubisky,QB,1,79.00,UD
Montae Nicholson,DB,1,135.00,Drafted
Montravius Adams,DL,4,14.50,Drafted
Myles Garrett,DL,4,2.25,Drafted
Natrez Patrick,DL,4,97.50,UD
Nelson Agholor,WR,4,31.50,Drafted
Neville Gallimore,DL,3,68.33,UD
Nick Brossette,RB,1,121.00,UD
Nick Chubb,RB,4,37.00,Drafted
Nick Conner,LB,1,128.00,UD
Nick Dawson,LB,1,89.00,UD
Nick Gibson,RB,1,139.00,UD
Nick Harvey,DB,4,73.25,UD
Nick James,DL,1,135.00,UD
Nick Ruffin,DB,2,93.00,UD
Nick Watkins,DB,1,123.00,UD
Nifae Lealao,DL,3,100.67,UD
Noah Green,OL,1,116.00,UD
Noah Jefferson,DL,1,52.00,UD
Noah Spence,DL,4,7.50,Drafted
Noor Davis,LB,4,56.50,UD
Nyheim Hines,RB,2,102.50,Drafted
Nyles Morgan,LB,4,74.00,UD
O.J. Howard,TE,4,25.00,Drafted
Ondre Pipkins,DL,3,40.33,UD
Orlando Thomas,ATH,1,129.00,UD
Osa Masina,LB,4,43.00,UD
Otaro Alaka,LB,1,138.00,UD
Otha Peters,LB,1,126.00,UD
P.J. Mbanasor,DB,2,105.00,UD
P.J. Williams,DB,3,123.00,Drafted
Parris Campbell,WR,2,134.00,Drafted
Parrker Westphal,DB,2,116.50,UD
Patrick Destefano,OL,1,115.00,UD
Patrick Kugler,OL,4,86.75,UD
Patrick Miller,OL,1,134.00,UD
Patrick Vahe,OL,2,138.50,UD
Paul Thurston,OL,1,147.00,UD
Peter Jinkens,LB,3,101.00,UD
Peter Kalambayi,LB,2,123.50,Drafted
Pig Howard,WR,1,121.00,UD
Pio Vatuvei,DL,1,145.00,UD
Porter Gustin,LB,4,46.25,UD
Preston Williams,WR,3,38.00,UD
Priest Willis,DB,4,50.25,UD
Prince Tega Wanogho Jr.,DL,3,107.33,UD
Qualen Cunningham,DL,1,97.00,UD
Quanzell Lambert,LB,1,136.00,UD
Quay Evans,DL,2,130.50,UD
Quenton Nelson,OL,3,55.00,Drafted
Quin Blanding,DB,4,7.25,UD
Quinton Powell,LB,1,99.00,UD
Racean Thomas,RB,2,20.00,UD
Raekwon McMillan,LB,4,20.50,Drafted
Rahshead Johnson,WR,1,139.00,UD
Randy Johnson,ATH,2,32.50,UD
Raphael Kirby,LB,3,113.00,UD
Rashaan Evans,LB,4,22.75,Drafted
Rashad Roundtree,DB,3,88.33,UD
Rashard Fant,ATH,1,147.00,UD
Rashard Robinson,DB,1,119.00,Drafted
Rasheem Green,DL,4,27.50,Drafted
Raymond Ford,DB,1,145.00,UD
Ray-Ray McCloud,ATH,3,70.33,Drafted
Reggie Ragland,LB,4,57.75,Drafted
Reginald Davis,WR,1,87.00,UD
Reuben Foster,LB,4,12.50,Drafted
Ricardo Louis,ATH,2,84.50,Drafted
Richard McBryde,LB,2,78.50,UD
Richard Moore,LB,1,129.00,UD
Richie Petitbon,OL,3,58.67,UD
Ricky DeBerry,LB,4,122.00,UD
Ricky Parks,TE,4,89.75,UD
Ricky Seals-Jones,ATH,4,37.00,UD
Ricky Town,QB,4,95.25,UD
Rico McGraw,DB,2,144.00,UD
Robbie Rhodes,WR,4,38.25,UD
Robert Foster,WR,4,28.00,UD
Robert Nkemdiche,DL,4,1.00,Drafted
Roc Thomas,RB,2,41.50,UD
Rod Taylor,OL,4,58.50,Drafted
Roderick Johnson,OL,1,123.00,Drafted
Rodney Anderson,RB,1,117.00,Drafted
Ronald Darby,DB,4,36.75,Drafted
Ronald Jones II,RB,4,45.00,UD
Roney Elam,DB,1,125.00,UD
Ronnie Clark,ATH,4,76.75,UD
Ronnie Feist,LB,1,125.00,UD
Ronnie Harrison,DB,1,96.00,Drafted
Ronnie Stanley,OL,2,135.50,Drafted
Roquan Smith,LB,4,56.25,Drafted
Ross Pierschbacher,OL,4,91.00,Drafted
Royce Freeman,RB,4,46.50,Drafted
Royce Jenkins-Stone,LB,2,128.50,UD
Rushel Shell,RB,4,43.25,UD
Ryan Anderson,LB,4,72.00,Drafted
Ryan Bates,OL,2,136.00,UD
Ryan Buchholz,DL,1,129.00,UD
Ryan Burns,QB,3,104.67,UD
Ryan Davis,WR,1,64.00,UD
Ryan Green,ATH,4,49.50,UD
Saeed Blacknall,WR,2,129.00,UD
Sam Darnold,QB,3,133.67,Drafted
Sam Hubbard,ATH,1,124.00,Drafted
Saquon Barkley,RB,3,104.33,Drafted
Scott Felix,LB,2,139.00,UD
Scott Starr,LB,1,128.00,UD
Sean Price,TE,2,136.50,UD
Sean White,QB,4,98.25,UD
Sebastian LaRue,WR,3,114.00,UD
Se'Von Pittman,DL,3,94.00,UD
Shameik Blackshear,DL,2,133.00,UD
Shamire DeVine,OL,1,134.00,UD
Shane Morris,QB,4,90.00,UD
Shaq Roland,WR,4,51.00,UD
Shaq Thompson,DB,4,7.50,Drafted
Shaq Wiggins,DB,2,86.00,UD
Shaquille Davidson,WR,1,146.00,UD
Shaun Crawford,DB,2,97.00,UD
Shaun Dion Hamilton,LB,2,88.50,Drafted
Shawn Burgess-Becker,DB,1,133.00,UD
Sheldon Dawson,ATH,1,92.00,UD
Sheldon Day,DL,3,111.33,Drafted
Shelton Gibson,WR,2,132.50,Drafted
Sherrod Pittman,LB,1,112.00,UD
Shiro Davis,LB,2,84.00,UD
Shy Tuttle,DL,4,56.00,UD
Solomon Thomas,DL,4,32.25,Drafted
Sony Michel,RB,4,27.50,Drafted
Soso Jamabo,RB,4,40.75,UD
Speedy Noil,WR,4,10.75,UD
Stacy Coley,WR,4,69.75,Drafted
Standish Dobard,TE,1,136.00,UD
Stanley Norman,ATH,1,140.00,UD
Stanley Williams,RB,1,118.00,UD
Stanvon Taylor,WR,2,107.50,UD
Stefon Diggs,WR,4,9.75,Drafted
Stephen Roberts,DB,3,101.00,UD
Sterling Jenkins,OL,1,125.00,UD
Sterling Johnson,DL,1,108.00,UD
Sterling Shepard,WR,4,99.75,Drafted
Steve Elmer,OL,3,104.00,UD
Steven Mitchell Jr.,WR,4,70.50,UD
Steven Parker,DB,3,100.00,UD
Su'a Cravens,DB,4,11.25,Drafted
T.J. Logan,RB,1,87.00,Drafted
T.J. Millweard,QB,1,91.00,UD
T.J. Yeldon,RB,4,27.00,Drafted
Taco Charlton,DL,3,118.00,Drafted
Tahaan Goodman,DB,4,74.50,UD
Taj Griffin,RB,4,59.00,UD
Tanner Farmer,OL,1,82.00,UD
Tanner Mangum,QB,3,89.33,UD
Taquan Mizzell,RB,4,56.50,UD
Tarean Folston,RB,4,103.50,UD
Tarvarus McFadden,DB,4,23.50,UD
Tashawn Bower,DL,1,132.00,UD
Tee Shepard,DB,4,66.50,UD
Teez Tabor,DB,4,13.75,Drafted
Terrell Newby,RB,3,113.33,UD
Terry Beckner Jr.,DL,4,14.75,UD
Terry Godwin,ATH,4,32.25,Drafted
Terry Richardson,DB,3,119.33,UD
Tevon Coney,LB,1,118.00,UD
Thomas Holley,DL,4,51.50,UD
Thomas Johnson,WR,4,36.25,UD
Thomas Tyner,RB,4,28.25,UD
Tim Harris,DB,1,141.00,Drafted
Tim Kimbrough,LB,1,150.00,UD
Tim Settle,DL,2,63.50,Drafted
Tim Williams,DL,4,76.25,Drafted
Toa Lobendahn,OL,3,125.33,UD
Toby Weathersby,OL,4,124.75,UD
Todd Gurley,RB,3,57.00,Drafted
Todd Kelly Jr.,DB,4,65.00,UD
Tommy Hatton,OL,1,147.00,UD
Tommy Schutt,DL,3,85.00,UD
Tony Brown,DB,4,14.75,UD
Tony Conner,DB,2,28.50,UD
Tony James,RB,1,129.00,UD
Tony Stevens,WR,2,113.00,UD
Torii Hunter Jr.,WR,1,95.00,UD
Torrance Gibson,ATH,3,57.33,UD
Torshiro Davis,LB,2,101.00,UD
Tracy Howard,DB,4,23.50,UD
Tramel Terry,WR,3,103.67,UD
Travis Blanks,DB,3,55.67,UD
Travis Jonsen,QB,2,87.50,UD
Travis Rudolph,WR,4,29.25,UD
Travis Waller,QB,1,49.00,UD
Travis Wilson,QB,1,78.00,UD
Travonte Valentine,DL,3,52.00,UD
Tray Matthews,DB,4,87.25,UD
Tre' Williams,LB,4,35.25,UD
Tre'Davious White,DB,3,24.33,Drafted
Trent Harris,DL,1,133.00,UD
Trent Irwin,WR,3,65.00,UD
Trenton Thompson,DL,4,3.00,UD
Treon Harris,QB,2,95.50,UD
Trevor Darling,OL,4,115.00,UD
Trey Johnson,LB,3,87.00,UD
Trey Marshall,DB,2,117.00,UD
Trey Quinn,WR,4,68.75,Drafted
Trey Williams,RB,4,28.50,UD
Tristan Payton,WR,2,118.50,UD
Tristen Hoge,OL,4,120.00,UD
Troy Williams,QB,3,99.00,UD
Ty Darlington,OL,1,148.00,UD
Ty Isaac,ATH,4,71.00,UD
Tyler Boyd,WR,2,114.00,Drafted
Tyler Carr,OL,1,81.00,UD
Tyler Hayes,LB,3,162.00,UD
Tyler Luatua,TE,1,107.00,UD
Tyler Petite,TE,1,85.00,UD
Tyler Whiley,DB,1,103.00,UD
Tyree St. Louis,OL,1,103.00,UD
Tyrell Robinson,ATH,3,137.00,UD
Tyren Jones,RB,4,68.00,UD
Tyriq McCord,DL,4,110.50,UD
Tyron Johnson,WR,4,27.25,UD
Tyrone Crowder,OL,2,121.00,UD
Tyshon Dye,RB,1,123.00,UD
Ty'Son Williams,RB,1,145.00,UD
Ukeme Eligwe,LB,4,81.75,Drafted
Vadal Alexander,OL,1,75.00,Drafted
Varshaun Nixon,RB,1,147.00,UD
Vernon Hargreaves,DB,4,3.00,Drafted
Viane Talamaivao,OL,4,97.00,UD
Vince Biegel,LB,2,111.50,Drafted
Vonn Bell,DB,4,34.25,Drafted
Wayne Morgan,DB,1,124.00,UD
Wesley Green,DB,1,120.00,UD
Will Grier,QB,4,51.00,Drafted
Will Sunderland,DB,1,109.00,UD
Wyatt Teller,DL,2,84.50,Drafted
Xavier Lewis,DB,2,147.00,UD
Yannick Ngakoue,LB,1,88.00,Drafted
Ykili Ross,ATH,3,56.67,UD
Yuri Wright,DB,4,59.50,UD
Zach Banner,OL,4,77.50,Drafted
Zach Gentry,QB,2,111.50,Drafted
Zach Kline,QB,4,40.75,UD
Zach Whitley,LB,3,99.67,UD
Zack Bailey,OL,1,72.00,UD
Zack Greenlee,QB,1,146.00,UD
